	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	strain_description	base_media	carbon_source	treatment	temperature	pH	OD	growth_phase	notes	skip	full_name	passed_replicate_correlations
ERX3440920	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417410;ERR3417411;ERR3417412;ERR3417413	ERP116158	PRJEB33371	614692	ERS3563434	SAMEA5759985	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	312	26.8	10470328	14499727			32061128	168	knockout mutant ygaB			True	True	True	spore_genes	delygaB_0h	wt_0h	168 del_ygaB	DSM			37.0	7.0		sporulation initiation			spore_genes:delygaB_0h	True
ERX3440921	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417414;ERR3417415;ERR3417416;ERR3417417	ERP116158	PRJEB33371	614692	ERS3563435	SAMEA5759986	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	303	26.8	10470329	14499728			32061128	168	wild type genotype			True	True	True	spore_genes	wt_3h	wt_0h	168	DSM			37.0	7.0		sporulation			spore_genes:wt_3h	True
ERX3440922	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417418;ERR3417419;ERR3417420;ERR3417421	ERP116158	PRJEB33371	614692	ERS3563436	SAMEA5759987	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	306	26.8	10470330	14499729			32061128	168	wild type genotype			True	True	True	spore_genes	wt_3h	wt_0h	168	DSM			37.0	7.0		sporulation			spore_genes:wt_3h	True
ERX3440923	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417422;ERR3417423;ERR3417424;ERR3417425	ERP116158	PRJEB33371	614692	ERS3563437	SAMEA5759988	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	354	26.8	10470331	14499730			32061128	168	wild type genotype			True	True	True	spore_genes	wt_3h	wt_0h	168	DSM			37.0	7.0		sporulation			spore_genes:wt_3h	True
ERX3440924	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417426;ERR3417427;ERR3417428;ERR3417429	ERP116158	PRJEB33371	614692	ERS3563438	SAMEA5759989	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	333	26.8	10470332	14499731			32061128	168	knockout mutant yizD			True	True	True	spore_genes	delyizD_3h	wt_0h	168 del_yizD	DSM			37.0	7.0		sporulation			spore_genes:delyizD_3h	True
ERX3440925	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417430;ERR3417431;ERR3417432;ERR3417433	ERP116158	PRJEB33371	614692	ERS3563439	SAMEA5759990	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	310	26.8	10470333	14499732			32061128	168	wild type genotype			True	True	True	spore_genes	wt_0h	wt_0h	168	DSM			37.0	7.0		sporulation initiation			spore_genes:wt_0h	True
ERX3440926	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417434;ERR3417435;ERR3417436;ERR3417437	ERP116158	PRJEB33371	614692	ERS3563440	SAMEA5759991	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	348	26.8	10470334	14499733			32061128	168	knockout mutant yizD			True	True	True	spore_genes	delyizD_3h	wt_0h	168 del_yizD	DSM			37.0	7.0		sporulation			spore_genes:delyizD_3h	True
ERX3440927	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417438;ERR3417439;ERR3417440;ERR3417441	ERP116158	PRJEB33371	614692	ERS3563441	SAMEA5759992	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	337	26.8	10470335	14499734			32061128	168	knockout mutant yizD			True	True	True	spore_genes	delyizD_3h	wt_0h	168 del_yizD	DSM			37.0	7.0		sporulation			spore_genes:delyizD_3h	True
ERX3440928	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417442;ERR3417443;ERR3417444;ERR3417445	ERP116158	PRJEB33371	614692	ERS3563442	SAMEA5759993	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	315	26.8	10470336	14499735			32061128	168	knockout mutant ykzB			True	True	True	spore_genes	delykzB_3h	wt_0h	168 del_ykzB	DSM			37.0	7.0		sporulation			spore_genes:delykzB_3h	True
ERX3440929	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417446;ERR3417447;ERR3417448;ERR3417449	ERP116158	PRJEB33371	614692	ERS3563443	SAMEA5759994	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	308	26.8	10470337	14499736			32061128	168	knockout mutant ykzB			True	True	True	spore_genes	delykzB_3h	wt_0h	168 del_ykzB	DSM			37.0	7.0		sporulation			spore_genes:delykzB_3h	True
ERX3440930	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417450;ERR3417451;ERR3417452;ERR3417453	ERP116158	PRJEB33371	614692	ERS3563444	SAMEA5759995	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	313	26.8	10470338	14499737			32061128	168	knockout mutant ykzB			True	True	True	spore_genes	delykzB_3h	wt_0h	168 del_ykzB	DSM			37.0	7.0		sporulation			spore_genes:delykzB_3h	True
ERX3440931	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417454;ERR3417455;ERR3417456;ERR3417457	ERP116158	PRJEB33371	614692	ERS3563445	SAMEA5759996	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	299	26.8	10470339	14499738			32061128	168	knockout mutant yphF			True	True	True	spore_genes	delyphF_3h	wt_0h	168 del_yphF	DSM			37.0	7.0		sporulation			spore_genes:delyphF_3h	True
ERX3440932	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417458;ERR3417459;ERR3417460;ERR3417461	ERP116158	PRJEB33371	614692	ERS3563446	SAMEA5759997	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	309	26.8	10470340	14499739			32061128	168	knockout mutant yphF			True	True	True	spore_genes	delyphF_3h	wt_0h	168 del_yphF	DSM			37.0	7.0		sporulation			spore_genes:delyphF_3h	True
ERX3440933	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417462;ERR3417463;ERR3417464;ERR3417465	ERP116158	PRJEB33371	614692	ERS3563447	SAMEA5759998	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	344	26.8	10470341	14499740			32061128	168	knockout mutant yphF			True	True	True	spore_genes	delyphF_3h	wt_0h	168 del_yphF	DSM			37.0	7.0		sporulation			spore_genes:delyphF_3h	True
ERX3440934	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417466;ERR3417467;ERR3417468;ERR3417469	ERP116158	PRJEB33371	614692	ERS3563448	SAMEA5759999	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	312	26.8	10470342	14499741			32061128	168	knockout mutant ygaB			True	True	True	spore_genes	delygaB_3h	wt_0h	168 del_ygaB	DSM			37.0	7.0		sporulation			spore_genes:delygaB_3h	True
ERX3440935	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417470;ERR3417471;ERR3417472;ERR3417473	ERP116158	PRJEB33371	614692	ERS3563449	SAMEA5760000	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	310	26.8	10470343	14499742			32061128	168	knockout mutant ygaB			True	True	True	spore_genes	delygaB_3h	wt_0h	168 del_ygaB	DSM			37.0	7.0		sporulation			spore_genes:delygaB_3h	True
ERX3440936	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417474;ERR3417475;ERR3417476;ERR3417477	ERP116158	PRJEB33371	614692	ERS3563450	SAMEA5760001	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	308	26.8	10470344	14499743			32061128	168	wild type genotype			True	True	True	spore_genes	wt_0h	wt_0h	168	DSM			37.0	7.0		sporulation initiation			spore_genes:wt_0h	True
ERX3440937	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417478;ERR3417479;ERR3417480;ERR3417481	ERP116158	PRJEB33371	614692	ERS3563451	SAMEA5760002	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	316	26.8	10470345	14499744			32061128	168	knockout mutant ygaB			True	True	True	spore_genes	delygaB_3h	wt_0h	168 del_ygaB	DSM			37.0	7.0		sporulation			spore_genes:delygaB_3h	True
ERX3440938	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417482;ERR3417483;ERR3417484;ERR3417485	ERP116158	PRJEB33371	614692	ERS3563452	SAMEA5760003	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	314	26.8	10470346	14499745			32061128	168	knockout mutant yizD			True	True	True	spore_genes	delyizD_0h	wt_0h	168 del_yizD	DSM			37.0	7.0		sporulation initiation			spore_genes:delyizD_0h	True
ERX3440939	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417486;ERR3417487;ERR3417488;ERR3417489	ERP116158	PRJEB33371	614692	ERS3563453	SAMEA5760004	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	309	26.8	10470347	14499746			32061128	168	knockout mutant yizD			True	True	True	spore_genes	delyizD_0h	wt_0h	168 del_yizD	DSM			37.0	7.0		sporulation initiation			spore_genes:delyizD_0h	True
ERX3440940	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417490;ERR3417491;ERR3417492;ERR3417493	ERP116158	PRJEB33371	614692	ERS3563454	SAMEA5760005	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	383	26.8	10470348	14499747			32061128	168	knockout mutant yizD			True	True	True	spore_genes	delyizD_0h	wt_0h	168 del_yizD	DSM			37.0	7.0		sporulation initiation			spore_genes:delyizD_0h	True
ERX3440941	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417494;ERR3417495;ERR3417496;ERR3417497	ERP116158	PRJEB33371	614692	ERS3563455	SAMEA5760006	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	310	26.8	10470349	14499748			32061128	168	knockout mutant ykzB			True	True	True	spore_genes	delykzB_0h	wt_0h	168 del_ykzB	DSM			37.0	7.0		sporulation initiation			spore_genes:delykzB_0h	True
ERX3440942	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417498;ERR3417499;ERR3417500;ERR3417501	ERP116158	PRJEB33371	614692	ERS3563456	SAMEA5760007	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	307	26.8	10470350	14499749			32061128	168	knockout mutant ykzB			True	True	True	spore_genes	delykzB_0h	wt_0h	168 del_ykzB	DSM			37.0	7.0		sporulation initiation			spore_genes:delykzB_0h	True
ERX3440943	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417502;ERR3417503;ERR3417504;ERR3417505	ERP116158	PRJEB33371	614692	ERS3563457	SAMEA5760008	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	313	26.8	10470351	14499750			32061128	168	knockout mutant ykzB			True	True	True	spore_genes	delykzB_0h	wt_0h	168 del_ykzB	DSM			37.0	7.0		sporulation initiation			spore_genes:delykzB_0h	True
ERX4111143	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143875	ERP121707	PRJEB38296	657226	ERS4558401	SAMEA6830781	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632004	15820457				168				True	True	True	ave1	ctrl_5m	ctrl_5m	168			water			0.3	mid-exponential			ave1:ctrl_5m	True
ERX4111144	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143876	ERP121707	PRJEB38296	657226	ERS4558402	SAMEA6830782	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632005	15820458				168				True	True	True	ave1	vdave1_5m	ctrl_5m	168			VdAve1			0.3	mid-exponential			ave1:vdave1_5m	True
ERX4111145	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143877	ERP121707	PRJEB38296	657226	ERS4558403	SAMEA6830783	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632006	15820459				168				True	True	True	ave1	ctrl_20m	ctrl_5m	168						0.3	mid-exponential			ave1:ctrl_20m	True
ERX4111146	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143878	ERP121707	PRJEB38296	657226	ERS4558404	SAMEA6830784	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632007	15820460				168				True	True	True	ave1	vdave1_20m	ctrl_5m	168						0.3	mid-exponential			ave1:vdave1_20m	True
ERX4111148	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143880	ERP121707	PRJEB38296	657226	ERS4558406	SAMEA6830786	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632009	15820462				168				True	True	True	ave1	supernatant_5m	ctrl_5m	168						0.3	mid-exponential			ave1:supernatant_5m	True
ERX4111149	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143881	ERP121707	PRJEB38296	657226	ERS4558407	SAMEA6830787	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632010	15820463				168				True	True	True	ave1	vnave1_20m	ctrl_5m	168						0.3	mid-exponential			ave1:vnave1_20m	True
ERX4111150	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143882	ERP121707	PRJEB38296	657226	ERS4558408	SAMEA6830788	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632011	15820464				168				True	True	True	ave1	supernatant_20m	ctrl_5m	168						0.3	mid-exponential			ave1:supernatant_20m	True
ERX4111151	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143883	ERP121707	PRJEB38296	657226	ERS4558409	SAMEA6830789	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632012	15820465				168				True	True	True	ave1	ctrl_5m	ctrl_5m	168						0.3	mid-exponential			ave1:ctrl_5m	True
ERX4111152	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143884	ERP121707	PRJEB38296	657226	ERS4558410	SAMEA6830790	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632013	15820466				168				True	True	True	ave1	vdave1_5m	ctrl_5m	168						0.3	mid-exponential			ave1:vdave1_5m	True
ERX4111153	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143885	ERP121707	PRJEB38296	657226	ERS4558411	SAMEA6830791	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632014	15820467				168				True	True	True	ave1	ctrl_20m	ctrl_5m	168						0.3	mid-exponential			ave1:ctrl_20m	True
ERX4111154	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143886	ERP121707	PRJEB38296	657226	ERS4558412	SAMEA6830792	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632015	15820468				168				True	True	True	ave1	vdave1_20m	ctrl_5m	168						0.3	mid-exponential			ave1:vdave1_20m	True
ERX4111156	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143888	ERP121707	PRJEB38296	657226	ERS4558414	SAMEA6830794	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632017	15820470				168				True	True	True	ave1	supernatant_5m	ctrl_5m	168						0.3	mid-exponential			ave1:supernatant_5m	True
ERX4111157	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143889	ERP121707	PRJEB38296	657226	ERS4558415	SAMEA6830795	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632018	15820471				168				True	True	True	ave1	vnave1_20m	ctrl_5m	168						0.3	mid-exponential			ave1:vnave1_20m	True
ERX4111158	2020-08-14 9:57:42	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 550	ERR4143890	ERP121707	PRJEB38296	657226	ERS4558416	SAMEA6830796	ERA2597823	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UVA	0	0.0	11632019	15820472				168				True	True	True	ave1	supernatant_20m	ctrl_5m	168						0.3	mid-exponential			ave1:supernatant_20m	True
SRX533166	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274789	SRP041677	PRJNA245111	245111	SRS601974	SAMN02725505	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	733723	2725505			24843172	SMY	flgB::erm			True	True	True	codY	wt	wt	SMY	TSS(glucose+16AA)	glucose								codY:wt	True
SRX533171	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274790	SRP041677	PRJNA245111	245111	SRS601978	SAMN02725504	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	733728	2725504			24843172	SMY	flgB::erm			True	True	True	codY	wt	wt	SMY	TSS(glucose+16AA)	glucose								codY:wt	True
SRX533786	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274791	SRP041677	PRJNA245111	245111	SRS602514	SAMN02731661	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737025	2731661			24843172	SRB268	flgB::erm codY::(erm::spc)			True	True	True	codY	ctrl	wt	SMY codY_complement	TSS(glucose+16AA)	glucose								codY:ctrl	True
SRX533787	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274792	SRP041677	PRJNA245111	245111	SRS602515	SAMN02731662	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737026	2731662			24843172	SRB268	flgB::erm codY::(erm::spc)			True	True	True	codY	ctrl	wt	SMY codY_complement	TSS(glucose+16AA)	glucose								codY:ctrl	True
SRX533789	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274793	SRP041677	PRJNA245111	245111	SRS602517	SAMN02731663	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737028	2731663			24843172	SRB361	flgB::erm codYR61K			True	True	True	codY	codYR61K	wt	SMY codYR61K	TSS(glucose+16AA)	glucose								codY:codYR61K	True
SRX533791	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274794	SRP041677	PRJNA245111	245111	SRS602519	SAMN02731664	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737039	2731664			24843172	SRB361	flgB::erm codYR61K			True	True	True	codY	codYR61K	wt	SMY codYR61K	TSS(glucose+16AA)	glucose								codY:codYR61K	True
SRX533792	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274795	SRP041677	PRJNA245111	245111	SRS602520	SAMN02731665	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737040	2731665			24843172	SRB465	flgB::erm codY59			True	True	True	codY	codYR61H	wt	SMY codYR61H	TSS(glucose+16AA)	glucose								codY:codYR61H	True
SRX533793	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274796	SRP041677	PRJNA245111	245111	SRS602521	SAMN02731666	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737041	2731666			24843172	SRB465	flgB::erm codY59			True	True	True	codY	codYR61H	wt	SMY codYR61H	TSS(glucose+16AA)	glucose								codY:codYR61H	True
SRX533794	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274797	SRP041677	PRJNA245111	245111	SRS602522	SAMN02731667	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737387	2731667			24843172	SRB468	flgB::erm codY62			True	True	True	codY	codYF71Y	wt	SMY codYF71Y	TSS(glucose+16AA)	glucose								codY:codYF71Y	True
SRX533795	2014-05-14 0:00:00	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR1274798	SRP041677	PRJNA245111	245111	SRS602523	SAMN02731668	SRA159056	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEORGETOWN UNIVERSITY	0	0.0	737388	2731668			24843172	SRB468	flgB::erm codY62			True	True	True	codY	codYF71Y	wt	SMY codYF71Y	TSS(glucose+16AA)	glucose								codY:codYF71Y	True
SRX959206	2016-01-04 11:40:09	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1918928	SRP056317	PRJNA278818	278818	SRS876450	SAMN03433613	SRA247287	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	1363198	3433613	GSE67058	GSM1637661	27571753	NusA-depletion strain (PLBS802)				True	True	True	nusA	nusA_induced	no_nusA	NusA-depletion strain (PLBS802)	Minimal-ACH	glucose(0.5%)	tetracycline(12.5ug/mL);IPTG(30uM)	37.0			mid-exponential			nusA:nusA_induced	True
