SubtiWiki,BSU_number,FuncId,FuncName1,FuncName2,FuncName3,FuncName4,FuncName5
gcvPB,BSU_24550,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of threonine/ glycine,NA
gcvT,BSU_24570,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of threonine/ glycine,NA
azlB,BSU_26720,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
azlC,BSU_26710,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
azlD,BSU_26700,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
bcd,BSU_24080,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
bkdAA,BSU_24050,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
bkdAB,BSU_24040,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
bkdB,BSU_24030,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
bkdR,BSU_24100,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
braB,BSU_29600,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
brnQ,BSU_26690,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
buk,BSU_24070,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
lpdV,BSU_24060,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
ptb,BSU_24090,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngE,BSU_18210,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngF,BSU_18220,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngG,BSU_18230,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngH,BSU_18240,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngHB,BSU_18239,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngI,BSU_18250,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
yngJ,BSU_18260,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
bcaP,BSU_09460,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
mmgA,BSU_24170,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of branched-chain amino acids,NA
gabD,BSU_03910,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of gamma-amino butyric acid,NA
gabP,BSU_06310,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of gamma-amino butyric acid,NA
gabR,BSU_03890,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of gamma-amino butyric acid,NA
gabT,BSU_03900,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of amino acids,utilization of gamma-amino butyric acid,NA
nasA,BSU_03330,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of nitrate/ nitrite,NA
nasB,BSU_03320,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of nitrate/ nitrite,NA
nasC,BSU_03310,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of nitrate/ nitrite,NA
nasD,BSU_03300,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of nitrate/ nitrite,NA
nasE,BSU_03290,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of nitrate/ nitrite,NA
nasF,BSU_03280,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of nitrate/ nitrite,NA
ureA,BSU_36660,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of urea,NA
ureB,BSU_36650,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of urea,NA
ureC,BSU_36640,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of urea,NA
yurJ,BSU_32550,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
frlR,BSU_32560,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
frlD,BSU_32570,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
frlM,BSU_32580,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
frlN,BSU_32590,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
frlO,BSU_32600,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
frlB,BSU_32610,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of amino sugars,NA
appB,BSU_11390,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
appC,BSU_11400,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
appD,BSU_11360,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
appF,BSU_11370,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
cstA,BSU_28710,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
dppA,BSU_12920,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
dppB,BSU_12930,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
dppC,BSU_12940,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
dppD,BSU_12950,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
dppE,BSU_12960,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
oppA,BSU_11430,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
oppB,BSU_11440,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
oppC,BSU_11450,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
oppD,BSU_11460,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
oppF,BSU_11470,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
pepT,BSU_38920,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
yclF,BSU_03670,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
ykfD,BSU_13000,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
papA,BSU_24460,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
papB,BSU_13860,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of peptides,NA
aprE,BSU_10300,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
aprX,BSU_17260,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
bpr,BSU_15300,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
epr,BSU_38400,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
mpr,BSU_02240,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
nprB,BSU_11100,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
nprE,BSU_14700,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
vpr,BSU_38090,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
ispA,BSU_13190,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,utilization of nitrogen sources other than amino acids,utilization of proteins,NA
alsT,BSU_18120,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,putative amino acid transporter,NA,NA
ycsG,BSU_04060,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,putative amino acid transporter,NA,NA
yoaV,BSU_18770,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,putative amino acid transporter,NA,NA
yodF,BSU_19580,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,putative amino acid transporter,NA,NA
yvbV,BSU_34000,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,putative amino acid transporter,NA,NA
lipC,BSU_04110,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids,NA
glpP,BSU_09270,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids,NA
glpT,BSU_02140,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids,NA
glpQ,BSU_02130,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids,NA
glpD,BSU_09300,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids,NA
cotR,BSU_34530,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids,NA
yhdW,BSU_09620,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids/ based on similarity,NA
yqiK,BSU_24180,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of phospholipids/ based on similarity,NA
scoB,BSU_38980,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
scoA,BSU_38990,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadM,BSU_32850,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
acsA,BSU_29680,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
acuA,BSU_29690,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
acuC,BSU_29710,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
lcfB,BSU_10270,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadH,BSU_14060,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
etfA,BSU_28520,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
etfB,BSU_28530,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
lcfA,BSU_28560,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadE,BSU_32820,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadA,BSU_32830,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadN,BSU_32840,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
acdA,BSU_37170,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadF,BSU_37180,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadG,BSU_14071,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadR,BSU_28550,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
fadB,BSU_28540,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of fatty acids,NA
pnbA,BSU_34390,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of lipids/ other,NA
ybfK,BSU_02260,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of lipids/ other,NA
nap,BSU_05440,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of lipids/ other,NA
lip,BSU_02700,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of lipids/ other,NA
lipB,BSU_08350,SW 2.4,Metabolism,lipid metabolism,utilization of lipids,utilization of lipids/ other,NA
fabL,BSU_08650,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
birA,BSU_22440,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fapR,BSU_15880,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
acpS,BSU_04620,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
yhdN,BSU_09530,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
plsC,BSU_09540,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
ycsD,BSU_04030,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
accC,BSU_24340,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
accB,BSU_24350,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
accA,BSU_29200,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
accD,BSU_29210,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
ywpB,BSU_36370,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fabHB,BSU_10170,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fabHA,BSU_11330,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fabF,BSU_11340,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fabI,BSU_11720,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
plsX,BSU_15890,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fabD,BSU_15900,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
fabG,BSU_15910,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
acpA,BSU_15920,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of fatty acids,NA
mprF,BSU_08425,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
plsY,BSU_18070,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
ywiE,BSU_37240,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
ywjE,BSU_37190,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
gpsA,BSU_22830,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
clsA,BSU_36590,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
pssA,BSU_02270,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
psd,BSU_02290,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
cdsA,BSU_16540,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
pgsA,BSU_16920,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of phospholipids,NA
dxs,BSU_24270,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
fni,BSU_22870,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
ispG,BSU_25070,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
ispH,BSU_25160,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
ispF,BSU_00910,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
ispD,BSU_00900,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
ispE,BSU_00460,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
uppS,BSU_16530,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
ispC,BSU_16550,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
nudF,BSU_23610,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
yhfR,BSU_10340,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
yisP,BSU_10810,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
yqiD,BSU_24280,SW 2.4,Metabolism,lipid metabolism,biosynthesis of lipids,biosynthesis of isoprenoids,NA
desR,BSU_19200,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
desK,BSU_19190,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
des,BSU_19180,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
degV,BSU_35480,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
ugtP,BSU_21920,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
gtaB,BSU_35670,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
pgcA,BSU_09310,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
yetO,BSU_07250,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
yrhJ,BSU_27160,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
yjiB,BSU_12210,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
cypC,BSU_02100,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
fatR,BSU_27170,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
pcrB,BSU_06600,SW 2.4,Metabolism,lipid metabolism,lipid metabolism/ other,NA,NA
pucR,BSU_32420,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucI,BSU_36470,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucJ,BSU_32430,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucK,BSU_32440,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
deoR,BSU_39430,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucH,BSU_32410,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucL,BSU_32450,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucM,BSU_32460,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucE,BSU_32470,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucD,BSU_32480,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucC,BSU_32490,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucB,BSU_32500,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucA,BSU_32510,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucG,BSU_32520,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pucF,BSU_32530,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
drm,BSU_23500,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
adeC,BSU_14520,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
nucB,BSU_25750,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
nupC,BSU_39410,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
pdp,BSU_39400,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
dra,BSU_39420,SW 2.5,Metabolism,nucleotide metabolism,utilization of nucleotides,NA,NA
guaB,BSU_00090,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
pbuX,BSU_22060,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
nupG,BSU_39020,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purR,BSU_00470,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
pbuG,BSU_06370,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
adk,BSU_01370,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
prs,BSU_00510,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purT,BSU_02230,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purE,BSU_06420,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purK,BSU_06430,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purB,BSU_06440,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purC,BSU_06450,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purS,BSU_06460,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purQ,BSU_06470,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purL,BSU_06480,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purF,BSU_06490,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purM,BSU_06500,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purN,BSU_06510,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purH,BSU_06520,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purD,BSU_06530,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
purA,BSU_40420,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
yabJ,BSU_00480,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
guaA,BSU_06360,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
ykkE,BSU_13110,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
gmk,BSU_15680,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
nupN,BSU_31540,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
nupO,BSU_31550,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
nupP,BSU_31560,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
nupQ,BSU_31570,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides,NA
pbuO,BSU_29990,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,biosynthesis/ acquisition of purine nucleotides/ based on similarity,NA
guaD,BSU_13170,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,purine salvage and interconversion,NA
guaC,BSU_32130,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,purine salvage and interconversion,NA
xpt,BSU_22070,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,purine salvage and interconversion,NA
apt,BSU_27610,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,purine salvage and interconversion,NA
pupG,BSU_23490,SW 2.5,Metabolism,nucleotide metabolism,biosynthesis/ acquisition of nucleotides,purine salvage and interconversion,NA
