UniProtKB	P45949	arsR		GO:0006355	GO_REF:0000033	IBA	PANTHER:PTN002108422|UniProtKB:P37309	P	Arsenical resistance operon repressor	UniProtKB:P45949|PTN002108560	protein	NCBITaxon:224308	20170228	GO_Central			regulation of DNA-templated transcription
UniProtKB	P70993	ywhA		GO:0006355	GO_REF:0000033	IBA	PANTHER:PTN002109389|UniProtKB:P11065|UniProtKB:P27245|UniProtKB:P0ACR9|UniProtKB:O34777|UniProtKB:Q9HZZ4|UniProtKB:Q8EI70|UniProtKB:P0A8W2	P	Uncharacterized HTH-type transcriptional regulator YwhA	UniProtKB:P70993|PTN001826085	protein	NCBITaxon:224308	20221009	GO_Central			regulation of DNA-templated transcription
UniProtKB	P70981	ybaC		GO:0016787	GO_REF:0000033	IBA	PANTHER:PTN000863140|ZFIN:ZDB-GENE-041212-70|WB:WBGene00019329|UniProtKB:Q9H6B9|WB:WBGene00010628|UniProtKB:P34913|RGD:620732|UniProtKB:Q9Y013|UniProtKB:Q9HZR3|UniProtKB:Q8IM75|TAIR:locus:2043868|UniProtKB:P9WMR9|MGI:MGI:99500|TAIR:locus:2078067|UniProtKB:L0TC47	F	Probable aminopeptidase YbaC	UniProtKB:P70981|PTN001661428	protein	NCBITaxon:224308	20230112	GO_Central			hydrolase activity
UniProtKB	P70976	ybaJ		GO:0008168	GO_REF:0000033	IBA	PANTHER:PTN008676703|UniProtKB:Q9H8H3|UniProtKB:P9WIN3|UniProtKB:P36999|UniProtKB:Q9HW23	F	Uncharacterized methyltransferase YbaJ	UniProtKB:P70976|PTN000010900	protein	NCBITaxon:224308	20230604	GO_Central			methyltransferase activity
UniProtKB	P70974	rplM		GO:0003735	GO_REF:0000033	IBA	PANTHER:PTN000166701|MGI:MGI:1351455|SGD:S000005676|FB:FBgn0037351|UniProtKB:P40429	F	50S ribosomal protein L13	UniProtKB:P70974|PTN000166869	protein	NCBITaxon:224308	20230405	GO_Central			structural constituent of ribosome
UniProtKB	P70974	rplM		GO:0017148	GO_REF:0000033	IBA	PANTHER:PTN000166701|UniProtKB:P40429|UniProtKB:P0AA10|MGI:MGI:1351455	P	50S ribosomal protein L13	UniProtKB:P70974|PTN000166869	protein	NCBITaxon:224308	20200807	GO_Central			negative regulation of translation
UniProtKB	P70974	rplM		GO:0003729	GO_REF:0000033	IBA	PANTHER:PTN000166701|UniProtKB:Q9SFU1|UniProtKB:P0AA10|TAIR:locus:2156569|MGI:MGI:1351455|TAIR:locus:2203010|TAIR:locus:2087268	F	50S ribosomal protein L13	UniProtKB:P70974|PTN000166869	protein	NCBITaxon:224308	20211110	GO_Central			mRNA binding
UniProtKB	P70974	rplM		GO:0005840	GO_REF:0000033	IBA	PANTHER:PTN000166701|SGD:S000005676|FB:FBgn0037351|SGD:S000001395|MGI:MGI:2137218|UniProtKB:O96222|UniProtKB:Q9BYD1|UniProtKB:P40429|RGD:628697|UniProtKB:Q580D5|MGI:MGI:1351455|UniProtKB:P0AA10|SGD:S000005013	C	50S ribosomal protein L13	UniProtKB:P70974|PTN000166869	protein	NCBITaxon:224308	20230110	GO_Central			ribosome
UniProtKB	P70974	rplM		GO:0022625	GO_REF:0000033	IBA	PANTHER:PTN000166868|UniProtKB:P0AA10	C	50S ribosomal protein L13	UniProtKB:P70974|PTN000166869	protein	NCBITaxon:224308	20170228	GO_Central			cytosolic large ribosomal subunit
UniProtKB	P70973	truA		GO:0009982	GO_REF:0000033	IBA	PANTHER:PTN000124732|MGI:MGI:1914299|PomBase:SPCC126.03|UniProtKB:Q9BZE2|MGI:MGI:1929237|SGD:S000006133|SGD:S000001895|SGD:S000003031|UniProtKB:P07649|UniProtKB:Q9Y606	F	tRNA pseudouridine synthase A	UniProtKB:P70973|PTN000124924	protein	NCBITaxon:224308	20170228	GO_Central			pseudouridine synthase activity
UniProtKB	P70973	truA		GO:0031119	GO_REF:0000033	IBA	PANTHER:PTN000124732|PomBase:SPCC126.03|MGI:MGI:1914299|SGD:S000001895|SGD:S000006133|UniProtKB:Q9BZE2|MGI:MGI:1929237|UniProtKB:P07649|SGD:S000003031|UniProtKB:Q9Y606	P	tRNA pseudouridine synthase A	UniProtKB:P70973|PTN000124924	protein	NCBITaxon:224308	20220922	GO_Central			tRNA pseudouridine synthesis
UniProtKB	P70972	ecfT		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN002127827|UniProtKB:Q9X2I1	C	Energy-coupling factor transporter transmembrane protein EcfT	UniProtKB:P70972|PTN002127894	protein	NCBITaxon:224308	20180110	GO_Central			plasma membrane
UniProtKB	P70955	natR		GO:0000976	GO_REF:0000033	IBA	PANTHER:PTN000724188|UniProtKB:O24973|UniProtKB:P69228|UniProtKB:Q8EE50|UniProtKB:P21866|UniProtKB:P0A9Q1|UniProtKB:P23836|UniProtKB:P08368|UniProtKB:Q8EHJ3	F	Transcriptional regulatory protein NatR	UniProtKB:P70955|PTN000724580	protein	NCBITaxon:224308	20211113	GO_Central			transcription cis-regulatory region binding
UniProtKB	P70955	natR		GO:0032993	GO_REF:0000033	IBA	PANTHER:PTN000724188|UniProtKB:P23836|UniProtKB:O24973|UniProtKB:Q8EE50|UniProtKB:P0A9Q1|UniProtKB:Q8EHJ3	C	Transcriptional regulatory protein NatR	UniProtKB:P70955|PTN000724580	protein	NCBITaxon:224308	20170829	GO_Central			protein-DNA complex
UniProtKB	P70955	natR		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000724188|UniProtKB:P23836|UniProtKB:P69228|UniProtKB:P0AE88|UniProtKB:P0A9Q1	C	Transcriptional regulatory protein NatR	UniProtKB:P70955|PTN000724580	protein	NCBITaxon:224308	20170829	GO_Central			cytosol
UniProtKB	P70955	natR		GO:0006355	GO_REF:0000033	IBA	PANTHER:PTN000724188|UniProtKB:Q8EEF6|UniProtKB:P9WGM9|UniProtKB:P9WGL9|UniProtKB:P0AFJ5|UniProtKB:P23890|UniProtKB:P0AFT5|UniProtKB:P37478|UniProtKB:P0AA16|UniProtKB:Q8EHJ3|UniProtKB:P21866|UniProtKB:P44918|UniProtKB:P69228|UniProtKB:P23836|UniProtKB:P0AE88|UniProtKB:P08368|UniProtKB:P0ACZ8|UniProtKB:P38684|UniProtKB:P71814|UniProtKB:P30843|UniProtKB:P9WGM7|UniProtKB:O53830|UniProtKB:P76340|UniProtKB:O24973|UniProtKB:Q8EE50|UniProtKB:P0A9Q1|UniProtKB:Q9I034	P	Transcriptional regulatory protein NatR	UniProtKB:P70955|PTN000724580	protein	NCBITaxon:224308	20230604	GO_Central			regulation of DNA-templated transcription
UniProtKB	P70955	natR		GO:0000156	GO_REF:0000033	IBA	PANTHER:PTN000724188|UniProtKB:O07776|UniProtKB:Q9I2U3|UniProtKB:P38684|UniProtKB:P0A9Q1|UniProtKB:P30843|UniProtKB:P0AA16|UniProtKB:P0AE88	F	Transcriptional regulatory protein NatR	UniProtKB:P70955|PTN000724580	protein	NCBITaxon:224308	20211113	GO_Central			phosphorelay response regulator activity
UniProtKB	P36945	rbsK		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN008501725|UniProtKB:P0A9J6	C	Ribokinase	UniProtKB:P36945|PTN000062072	protein	NCBITaxon:224308	20170228	GO_Central			cytosol
UniProtKB	P36946	rbsD		GO:0016866	GO_REF:0000033	IBA	PANTHER:PTN002208836|UniProtKB:P04982	F	D-ribose pyranase	UniProtKB:P36946|PTN002208840	protein	NCBITaxon:224308	20211112	GO_Central			intramolecular transferase activity
UniProtKB	P36946	rbsD		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN002208836|UniProtKB:P04982	C	D-ribose pyranase	UniProtKB:P36946|PTN002208840	protein	NCBITaxon:224308	20170901	GO_Central			cytosol
UniProtKB	P36946	rbsD		GO:0019303	GO_REF:0000033	IBA	PANTHER:PTN002208836|UniProtKB:P04982	P	D-ribose pyranase	UniProtKB:P36946|PTN002208840	protein	NCBITaxon:224308	20170901	GO_Central			D-ribose catabolic process
UniProtKB	P36948	rbsC		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN001282731|UniProtKB:P32720|UniProtKB:P0AGI1|UniProtKB:P39328|UniProtKB:P77315|UniProtKB:P0AGI4|UniProtKB:P0AE26|UniProtKB:P0AFS1|UniProtKB:P77672|UniProtKB:P37772|UniProtKB:P23200	C	Ribose import permease protein RbsC	UniProtKB:P36948|PTN000794652	protein	NCBITaxon:224308	20230407	GO_Central			plasma membrane
UniProtKB	P00691	amyE		GO:0004556	GO_REF:0000033	IBA	PANTHER:PTN001621142|UniProtKB:P26612	F	Alpha-amylase	UniProtKB:P00691|PTN000039968	protein	NCBITaxon:224308	20220416	GO_Central			alpha-amylase activity
UniProtKB	P00497	purF		GO:0004044	GO_REF:0000033	IBA	PANTHER:PTN000225535|UniProtKB:P0AG16|RGD:620237|PomBase:SPAC4D7.08c|SGD:S000004915|TAIR:locus:2139549|MGI:MGI:2387203|FB:FBgn0004901	F	Amidophosphoribosyltransferase	UniProtKB:P00497|PTN000225613	protein	NCBITaxon:224308	20210904	GO_Central			amidophosphoribosyltransferase activity
UniProtKB	P00497	purF		GO:0006164	GO_REF:0000033	IBA	PANTHER:PTN000225535|UniProtKB:P0AG16|SGD:S000004915|TAIR:locus:2139549|FB:FBgn0004901|MGI:MGI:2387203	P	Amidophosphoribosyltransferase	UniProtKB:P00497|PTN000225613	protein	NCBITaxon:224308	20210904	GO_Central			purine nucleotide biosynthetic process
UniProtKB	Q7PC63	acpK		GO:0009245	GO_REF:0000033	IBA	PANTHER:PTN000466714|UniProtKB:P0A6A8	P	Polyketide biosynthesis acyl-carrier-protein AcpK	UniProtKB:Q7PC63|PTN008573220	protein	NCBITaxon:224308	20181129	GO_Central			lipid A biosynthetic process
UniProtKB	Q7PC63	acpK		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000466714|UniProtKB:P0A6A8	C	Polyketide biosynthesis acyl-carrier-protein AcpK	UniProtKB:Q7PC63|PTN008573220	protein	NCBITaxon:224308	20181129	GO_Central			cytosol
UniProtKB	Q7PC63	acpK		GO:0000036	GO_REF:0000033	IBA	PANTHER:PTN000466551|UniProtKB:Q57WW9|UniProtKB:P9WQF1|UniProtKB:P0A6A8|UniProtKB:P9WQF3|TAIR:locus:2042331|UniProtKB:P11943|TAIR:locus:2168968|TAIR:locus:2206300	F	Polyketide biosynthesis acyl-carrier-protein AcpK	UniProtKB:Q7PC63|PTN008573220	protein	NCBITaxon:224308	20230111	GO_Central			acyl carrier activity
UniProtKB	Q7PC63	acpK		GO:0000035	GO_REF:0000033	IBA	PANTHER:PTN000466551|UniProtKB:P0A6A8|UniProtKB:P9WQF3	F	Polyketide biosynthesis acyl-carrier-protein AcpK	UniProtKB:Q7PC63|PTN008573220	protein	NCBITaxon:224308	20170228	GO_Central			acyl binding
UniProtKB	P71086	perR		GO:0008270	GO_REF:0000033	IBA	PANTHER:PTN002112386|UniProtKB:P0A9A9|UniProtKB:P9WN85	F	Peroxide operon regulator	UniProtKB:P71086|PTN002112430	protein	NCBITaxon:224308	20170502	GO_Central			zinc ion binding
UniProtKB	P71086	perR		GO:0003700	GO_REF:0000033	IBA	PANTHER:PTN002112386|UniProtKB:P0A9A9|UniProtKB:P9WN87|UniProtKB:P54574|UniProtKB:Q8Y5U9|UniProtKB:Q8PAL3|UniProtKB:P0A0S8|UniProtKB:Q9L2H5|UniProtKB:Q7CQY3|UniProtKB:P0AC51|UniProtKB:P71086|UniProtKB:P54479|UniProtKB:P9WN85|UniProtKB:P33086|UniProtKB:Q89VW1	F	Peroxide operon regulator	UniProtKB:P71086|PTN002112430	protein	NCBITaxon:224308	20221009	GO_Central			DNA-binding transcription factor activity
UniProtKB	P71086	perR		GO:0000976	GO_REF:0000033	IBA	PANTHER:PTN002112386|UniProtKB:Q9L2H5|UniProtKB:Q7CQY3|UniProtKB:P0AC51|UniProtKB:P9WN85|UniProtKB:P71086|UniProtKB:P54479|UniProtKB:P33086|UniProtKB:Q89VW1|UniProtKB:P0A9A9|UniProtKB:P54574|UniProtKB:Q8Y5U9|UniProtKB:H7C6K3|UniProtKB:P0A0S8|UniProtKB:Q8PAL3	F	Peroxide operon regulator	UniProtKB:P71086|PTN002112430	protein	NCBITaxon:224308	20221009	GO_Central			transcription cis-regulatory region binding
UniProtKB	P71086	perR		GO:0045892	GO_REF:0000033	IBA	PANTHER:PTN002112386|UniProtKB:Q89VW1|UniProtKB:P33086|UniProtKB:Q7BR72|UniProtKB:Q9L2H5|UniProtKB:P9WN85|UniProtKB:P54479|UniProtKB:Q8Y5U9|UniProtKB:P0A0S8|UniProtKB:Q8PAL3|UniProtKB:P74739|UniProtKB:P0A9A9|UniProtKB:Q9JZ70|UniProtKB:Q8EFN3|UniProtKB:Q9HT74|UniProtKB:P54574	P	Peroxide operon regulator	UniProtKB:P71086|PTN002112430	protein	NCBITaxon:224308	20230604	GO_Central			negative regulation of DNA-templated transcription
UniProtKB	P71086	perR		GO:1900376	GO_REF:0000033	IBA	PANTHER:PTN002112386|UniProtKB:Q9HT74|UniProtKB:Q03456	P	Peroxide operon regulator	UniProtKB:P71086|PTN002112430	protein	NCBITaxon:224308	20200809	GO_Central			regulation of secondary metabolite biosynthetic process
UniProtKB	P71079	fabL		GO:0030497	GO_REF:0000033	IBA	PANTHER:PTN001211919|UniProtKB:P0A2C9|UniProtKB:P0AEK2|UniProtKB:P71079	P	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	UniProtKB:P71079|PTN001215015	protein	NCBITaxon:224308	20190227	GO_Central			fatty acid elongation
UniProtKB	P71079	fabL		GO:0016616	GO_REF:0000033	IBA	PANTHER:PTN002449287|MGI:MGI:95911|UniProtKB:Q8N4T8|UniProtKB:P0AEK2|UniProtKB:O54438|SGD:S000001538|UniProtKB:P0AG84|UniProtKB:Q8I2S7|TAIR:locus:2024021|UniProtKB:P9WGT1|CGD:CAL0000174204|UniProtKB:P37769|UniProtKB:Q92506|UniProtKB:P05707	F	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	UniProtKB:P71079|PTN001215015	protein	NCBITaxon:224308	20230111	GO_Central			oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
UniProtKB	P71060	epsK		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN001250140|UniProtKB:P77377|UniProtKB:G3XD19|UniProtKB:P0AAA7|UniProtKB:P37746|UniProtKB:Q46841	C	Uncharacterized membrane protein EpsK	UniProtKB:P71060|PTN002016062	protein	NCBITaxon:224308	20221008	GO_Central			plasma membrane
UniProtKB	P71055	epsF		GO:0016757	GO_REF:0000033	IBA	PANTHER:PTN000749410|UniProtKB:P32057|UniProtKB:Q9HTC0|UniProtKB:P9WMZ5|UniProtKB:P27127|UniProtKB:P25740|UniProtKB:P9WMY7|UniProtKB:Q9HZE9|UniProtKB:P9WMZ3|UniProtKB:P71237	F	Putative glycosyltransferase EpsF	UniProtKB:P71055|PTN002288457	protein	NCBITaxon:224308	20221007	GO_Central			glycosyltransferase activity
UniProtKB	P71053	epsD		GO:0016757	GO_REF:0000033	IBA	PANTHER:PTN000749410|UniProtKB:P32057|UniProtKB:Q9HTC0|UniProtKB:P9WMZ5|UniProtKB:P27127|UniProtKB:P25740|UniProtKB:P9WMY7|UniProtKB:Q9HZE9|UniProtKB:P9WMZ3|UniProtKB:P71237	F	Putative glycosyltransferase EpsD	UniProtKB:P71053|PTN002288213	protein	NCBITaxon:224308	20221007	GO_Central			glycosyltransferase activity
UniProtKB	P71043	ywnH		GO:0016747	GO_REF:0000033	IBA	PANTHER:PTN002453816|UniProtKB:Q8ZPD3	F	Putative phosphinothricin acetyltransferase YwnH	UniProtKB:P71043|PTN000464203	protein	NCBITaxon:224308	20170228	GO_Central			acyltransferase activity, transferring groups other than amino-acyl groups
UniProtKB	P71036	ywnA		GO:0006355	GO_REF:0000033	IBA	PANTHER:PTN002432018|UniProtKB:P0AGK8|UniProtKB:P0AF63	P	Putative HTH-type transcriptional regulator YwnA	UniProtKB:P71036|PTN002113899	protein	NCBITaxon:224308	20201001	GO_Central			regulation of DNA-templated transcription
UniProtKB	P71036	ywnA		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN002432018|UniProtKB:P0AGK8	C	Putative HTH-type transcriptional regulator YwnA	UniProtKB:P71036|PTN002113899	protein	NCBITaxon:224308	20170420	GO_Central			cytosol
UniProtKB	P71036	ywnA		GO:0003700	GO_REF:0000033	IBA	PANTHER:PTN002432018|UniProtKB:P0AGK8	F	Putative HTH-type transcriptional regulator YwnA	UniProtKB:P71036|PTN002113899	protein	NCBITaxon:224308	20170420	GO_Central			DNA-binding transcription factor activity
UniProtKB	P71020	ylmH		GO:0042274	GO_REF:0000033	IBA	PANTHER:PTN000216478|SGD:S000006002|UniProtKB:P0A7V8|SGD:S000000393|UniProtKB:P46781|SGD:S000001191|UniProtKB:Q9NV31	P	Putative RNA-binding protein YlmH	UniProtKB:P71020|PTN002084794	protein	NCBITaxon:224308	20230602	GO_Central			ribosomal small subunit biogenesis
UniProtKB	P71020	ylmH		GO:0003735	GO_REF:0000033	IBA	PANTHER:PTN000216478|FB:FBgn0010408|SGD:S000006002|UniProtKB:P46781|MGI:MGI:1924096|SGD:S000000393|UniProtKB:P0A7V8|SGD:S000005081	F	Putative RNA-binding protein YlmH	UniProtKB:P71020|PTN002084794	protein	NCBITaxon:224308	20230405	GO_Central			structural constituent of ribosome
UniProtKB	P71020	ylmH		GO:0015935	GO_REF:0000033	IBA	PANTHER:PTN000216478|RGD:619889|SGD:S000006002|MGI:MGI:1924096|UniProtKB:P46781|UniProtKB:P0A7V8|SGD:S000005081|SGD:S000000393	C	Putative RNA-binding protein YlmH	UniProtKB:P71020|PTN002084794	protein	NCBITaxon:224308	20230405	GO_Central			small ribosomal subunit
UniProtKB	P71020	ylmH		GO:0019843	GO_REF:0000033	IBA	PANTHER:PTN000216478|UniProtKB:P0A7V8|SGD:S000006002|RGD:619889	F	Putative RNA-binding protein YlmH	UniProtKB:P71020|PTN002084794	protein	NCBITaxon:224308	20170228	GO_Central			rRNA binding
UniProtKB	P71012	fruA		GO:0009401	GO_REF:0000033	IBA	PANTHER:PTN002021020|UniProtKB:P54745|UniProtKB:P20966	P	PTS system fructose-specific EIIABC component	UniProtKB:P71012|PTN000532491	protein	NCBITaxon:224308	20220416	GO_Central			phosphoenolpyruvate-dependent sugar phosphotransferase system
UniProtKB	P71012	fruA		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN002021020|UniProtKB:P20966|UniProtKB:P77579|UniProtKB:P54745|UniProtKB:P32154|UniProtKB:P32672	C	PTS system fructose-specific EIIABC component	UniProtKB:P71012|PTN000532491	protein	NCBITaxon:224308	20170228	GO_Central			plasma membrane
UniProtKB	P71012	fruA		GO:0090563	GO_REF:0000033	IBA	PANTHER:PTN002021020|UniProtKB:P20966|UniProtKB:P54745	F	PTS system fructose-specific EIIABC component	UniProtKB:P71012|PTN000532491	protein	NCBITaxon:224308	20170228	GO_Central			protein-phosphocysteine-sugar phosphotransferase activity
UniProtKB	P03964	trpC		GO:0000162	GO_REF:0000033	IBA	PANTHER:PTN000523336|UniProtKB:P9WFX7|UniProtKB:P20577|UniProtKB:P00909	P	Indole-3-glycerol phosphate synthase	UniProtKB:P03964|PTN000523353	protein	NCBITaxon:224308	20170228	GO_Central			tryptophan biosynthetic process
UniProtKB	P03964	trpC		GO:0004425	GO_REF:0000033	IBA	PANTHER:PTN000523336|UniProtKB:P00909|UniProtKB:P20577|UniProtKB:P9WFX7|TAIR:locus:2058294	F	Indole-3-glycerol phosphate synthase	UniProtKB:P03964|PTN000523353	protein	NCBITaxon:224308	20170228	GO_Central			indole-3-glycerol-phosphate synthase activity
UniProtKB	P03964	trpC		GO:0004640	GO_REF:0000033	IBA	PANTHER:PTN000523336|UniProtKB:P00909	F	Indole-3-glycerol phosphate synthase	UniProtKB:P03964|PTN000523353	protein	NCBITaxon:224308	20170228	GO_Central			phosphoribosylanthranilate isomerase activity
UniProtKB	P03963	trpE		GO:0000162	GO_REF:0000033	IBA	PANTHER:PTN002599563|UniProtKB:P32068|UniProtKB:P20580|UniProtKB:P9WFX3|UniProtKB:P00895|PomBase:SPCC1442.09|UniProtKB:Q9XJ29|SGD:S000000892|UniProtKB:Q94GF1	P	Anthranilate synthase component 1	UniProtKB:P03963|PTN002599672	protein	NCBITaxon:224308	20200709	GO_Central			tryptophan biosynthetic process
UniProtKB	P03947	trpD		GO:0000162	GO_REF:0000033	IBA	PANTHER:PTN000230153|SGD:S000002762|PomBase:SPBC16G5.08|TAIR:locus:2161528	P	Anthranilate phosphoribosyltransferase	UniProtKB:P03947|PTN000230176	protein	NCBITaxon:224308	20170228	GO_Central			tryptophan biosynthetic process
UniProtKB	P03947	trpD		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000230153|UniProtKB:P30177	C	Anthranilate phosphoribosyltransferase	UniProtKB:P03947|PTN000230176	protein	NCBITaxon:224308	20170228	GO_Central			cytosol
UniProtKB	P36839	argD		GO:0030170	GO_REF:0000033	IBA	PANTHER:PTN000241033|UniProtKB:P18335|UniProtKB:P42588	F	Acetylornithine aminotransferase	UniProtKB:P36839|PTN000241319	protein	NCBITaxon:224308	20200808	GO_Central			pyridoxal phosphate binding
UniProtKB	P36839	argD		GO:0042802	GO_REF:0000033	IBA	PANTHER:PTN000241033|UniProtKB:P04181|UniProtKB:P42588	F	Acetylornithine aminotransferase	UniProtKB:P36839|PTN000241319	protein	NCBITaxon:224308	20230602	GO_Central			identical protein binding
UniProtKB	P37252	ilvH		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000767018|UniProtKB:P00894	C	Acetolactate synthase small subunit	UniProtKB:P37252|PTN001250024	protein	NCBITaxon:224308	20210905	GO_Central			cytosol
UniProtKB	P37252	ilvH		GO:0009097	GO_REF:0000033	IBA	PANTHER:PTN000767018|UniProtKB:P0ADF8|UniProtKB:P00894	P	Acetolactate synthase small subunit	UniProtKB:P37252|PTN001250024	protein	NCBITaxon:224308	20221008	GO_Central			isoleucine biosynthetic process
UniProtKB	P37252	ilvH		GO:0009099	GO_REF:0000033	IBA	PANTHER:PTN000767018|UniProtKB:P00894|TAIR:locus:2045248|UniProtKB:P0ADF8|TAIR:locus:2171292	P	Acetolactate synthase small subunit	UniProtKB:P37252|PTN001250024	protein	NCBITaxon:224308	20221008	GO_Central			valine biosynthetic process
UniProtKB	P37252	ilvH		GO:0003984	GO_REF:0000033	IBA	PANTHER:PTN000767018|UniProtKB:P0ADF8|UniProtKB:P00894	F	Acetolactate synthase small subunit	UniProtKB:P37252|PTN001250024	protein	NCBITaxon:224308	20221008	GO_Central			acetolactate synthase activity
UniProtKB	P37483	yycA		GO:0010041	GO_REF:0000033	IBA	PANTHER:PTN002141825|UniProtKB:P76473	P	Putative mannosyltransferase YycA	UniProtKB:P37483|PTN002436063	protein	NCBITaxon:224308	20190829	GO_Central			response to iron(III) ion
UniProtKB	P37483	yycA		GO:0009103	GO_REF:0000033	IBA	PANTHER:PTN002141825|UniProtKB:P76473	P	Putative mannosyltransferase YycA	UniProtKB:P37483|PTN002436063	protein	NCBITaxon:224308	20190829	GO_Central			lipopolysaccharide biosynthetic process
UniProtKB	P37483	yycA		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN002141805|UniProtKB:P76473	C	Putative mannosyltransferase YycA	UniProtKB:P37483|PTN002436063	protein	NCBITaxon:224308	20190829	GO_Central			plasma membrane
UniProtKB	P37483	yycA		GO:0016763	GO_REF:0000033	IBA	PANTHER:PTN002141805|UniProtKB:P76473	F	Putative mannosyltransferase YycA	UniProtKB:P37483|PTN002436063	protein	NCBITaxon:224308	20190829	GO_Central			pentosyltransferase activity
UniProtKB	P37555	yabM		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN001250140|UniProtKB:P77377|UniProtKB:G3XD19|UniProtKB:P0AAA7|UniProtKB:P37746|UniProtKB:Q46841	C	Uncharacterized membrane protein YabM	UniProtKB:P37555|PTN002016022	protein	NCBITaxon:224308	20221008	GO_Central			plasma membrane
UniProtKB	P37565	hslO		GO:0005737	GO_REF:0000033	IBA	PANTHER:PTN001248277|UniProtKB:Q583S1|UniProtKB:P0A6Y5	C	33 kDa chaperonin	UniProtKB:P37565|PTN001248282	protein	NCBITaxon:224308	20230111	GO_Central			cytoplasm
UniProtKB	P37565	hslO		GO:0042026	GO_REF:0000033	IBA	PANTHER:PTN001248277|UniProtKB:P0A6Y5	P	33 kDa chaperonin	UniProtKB:P37565|PTN001248282	protein	NCBITaxon:224308	20190822	GO_Central			protein refolding
UniProtKB	P37565	hslO		GO:0044183	GO_REF:0000033	IBA	PANTHER:PTN001248277|UniProtKB:P0A6Y5	F	33 kDa chaperonin	UniProtKB:P37565|PTN001248282	protein	NCBITaxon:224308	20190822	GO_Central			protein folding chaperone
UniProtKB	P37569	mcsA		GO:0050897	GO_REF:0000033	IBA	PANTHER:PTN002212748|UniProtKB:Q2G0P7	F	Protein-arginine kinase activator protein	UniProtKB:P37569|PTN002212758	protein	NCBITaxon:224308	20170228	GO_Central			cobalt ion binding
UniProtKB	P37569	mcsA		GO:1990169	GO_REF:0000033	IBA	PANTHER:PTN002212748|UniProtKB:Q2G0P7	P	Protein-arginine kinase activator protein	UniProtKB:P37569|PTN002212758	protein	NCBITaxon:224308	20170228	GO_Central			stress response to copper ion
UniProtKB	P37569	mcsA		GO:0046870	GO_REF:0000033	IBA	PANTHER:PTN002212748|UniProtKB:Q2G0P7	F	Protein-arginine kinase activator protein	UniProtKB:P37569|PTN002212758	protein	NCBITaxon:224308	20170228	GO_Central			cadmium ion binding
UniProtKB	P37569	mcsA		GO:0008270	GO_REF:0000033	IBA	PANTHER:PTN002212748|UniProtKB:Q2G0P7	F	Protein-arginine kinase activator protein	UniProtKB:P37569|PTN002212758	protein	NCBITaxon:224308	20170228	GO_Central			zinc ion binding
UniProtKB	P37569	mcsA		GO:0005507	GO_REF:0000033	IBA	PANTHER:PTN002212748|UniProtKB:Q2G0P7	F	Protein-arginine kinase activator protein	UniProtKB:P37569|PTN002212758	protein	NCBITaxon:224308	20170228	GO_Central			copper ion binding
UniProtKB	P37569	mcsA		GO:1990170	GO_REF:0000033	IBA	PANTHER:PTN002212748|UniProtKB:Q2G0P7	P	Protein-arginine kinase activator protein	UniProtKB:P37569|PTN002212758	protein	NCBITaxon:224308	20170228	GO_Central			stress response to cadmium ion
UniProtKB	P02394	rplL		GO:0022625	GO_REF:0000033	IBA	PANTHER:PTN002552910|UniProtKB:P0A7K2	C	50S ribosomal protein L7/L12	UniProtKB:P02394|PTN000211891	protein	NCBITaxon:224308	20180118	GO_Central			cytosolic large ribosomal subunit
UniProtKB	P02394	rplL		GO:0003735	GO_REF:0000033	IBA	PANTHER:PTN000211803|SGD:S000003036	F	50S ribosomal protein L7/L12	UniProtKB:P02394|PTN000211891	protein	NCBITaxon:224308	20220121	GO_Central			structural constituent of ribosome
UniProtKB	P02394	rplL		GO:0003729	GO_REF:0000033	IBA	PANTHER:PTN000211803|TAIR:locus:2086450|TAIR:locus:2086435	F	50S ribosomal protein L7/L12	UniProtKB:P02394|PTN000211891	protein	NCBITaxon:224308	20220121	GO_Central			mRNA binding
UniProtKB	P02394	rplL		GO:0006412	GO_REF:0000033	IBA	PANTHER:PTN000211803|UniProtKB:P0A7K2	P	50S ribosomal protein L7/L12	UniProtKB:P02394|PTN000211891	protein	NCBITaxon:224308	20220121	GO_Central			translation
