	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	strain_description	base_media	carbon_source	treatment	temperature	pH	OD	growth_phase	notes	skip
ERX1819452	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752062	ERP020479	PRJEB18541	362321	ERS1470432	SAMEA24238168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624960	6239586			28099413	168				TRUE	TRUE	TRUE	spbeta	168_phi3T_nopep_10m	phi3T_pep_10m	168 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819453	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752063	ERP020479	PRJEB18541	362321	ERS1470433	SAMEA24238918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624961	6239587			28099413	168				TRUE	TRUE	TRUE	spbeta	168_phi3T_nopep_20m	phi3T_pep_10m	168 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1981712	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923985	ERP022535	PRJEB20385	599627	ERS1662164	SAMEA103972996	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0	9836640	13746701			31840842	168	RNase J1 deletion			TRUE	TRUE	TRUE	rnase_j1	delrnjA	wt	LK1371 del_rnjA	LB			37		0.4	mid-exponential		
ERX1981713	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923986	ERP022535	PRJEB20385	599627	ERS1662165	SAMEA103972997	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0	9836641	13746702			31840842	168	RNase J1 deletion			TRUE	TRUE	TRUE	rnase_j1	delrnjA	wt	LK1371 del_rnjA	LB			37		0.4	mid-exponential		
ERX1981714	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923987	ERP022535	PRJEB20385	599627	ERS1662166	SAMEA103972998	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0	9836642	13746703			31840842	168	RNase J1 deletion			TRUE	TRUE	TRUE	rnase_j1	delrnjA	wt	LK1371 del_rnjA	LB			37		0.4	mid-exponential		
ERX1981715	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923988	ERP022535	PRJEB20385	599627	ERS1662167	SAMEA103972999	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0	9836643	13746704			31840842	168	wild type genotype			TRUE	TRUE	TRUE	rnase_j1	wt	wt	LK1371	LB			37		0.4	mid-exponential		
ERX1981716	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923989	ERP022535	PRJEB20385	599627	ERS1662168	SAMEA103973000	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0	9836644	13746705			31840842	168	wild type genotype			TRUE	TRUE	TRUE	rnase_j1	wt	wt	LK1371	LB			37		0.4	mid-exponential		
ERX1981717	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923990	ERP022535	PRJEB20385	599627	ERS1662169	SAMEA103973001	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0	9836645	13746706			31840842	168	wild type genotype			TRUE	TRUE	TRUE	rnase_j1	wt	wt	LK1371	LB			37		0.4	mid-exponential		
ERX2274784	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221411	ERP105747	PRJEB23963	478175	ERS2048944	SAMEA104431002	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845052	9553352			29914988	168	rsgI mutant			TRUE	TRUE	TRUE	sigI	delrsgI_37C	wt_37C	168 trp C2 del_rsgI	LB			37		0.5	mid-exponential		
ERX2274785	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221412	ERP105747	PRJEB23963	478175	ERS2048945	SAMEA104431003	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845053	9553353			29914988	168	rsgI mutant			TRUE	TRUE	TRUE	sigI	delrsgI_37C	wt_37C	168 trp C2 del_rsgI	LB			37		0.5	mid-exponential		
ERX2274786	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221413	ERP105747	PRJEB23963	478175	ERS2048946	SAMEA104431004	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845054	9553354			29914988	168	rsgI mutant			TRUE	TRUE	TRUE	sigI	delrsgI_37C	wt_37C	168 trp C2 del_rsgI	LB			37		0.5	mid-exponential		
ERX2274787	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221414	ERP105747	PRJEB23963	478175	ERS2048947	SAMEA104431005	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845055	9553355			29914988	168	rsgI mutant			TRUE	TRUE	TRUE	sigI	delrsgI_52C	wt_37C	168 trp C2 del_rsgI	LB			52		0.5	mid-exponential		
ERX2274788	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221415	ERP105747	PRJEB23963	478175	ERS2048948	SAMEA104431006	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845056	9553356			29914988	168	rsgI mutant			TRUE	TRUE	TRUE	sigI	delrsgI_52C	wt_37C	168 trp C2 del_rsgI	LB			52		0.5	mid-exponential		
ERX2274789	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221416	ERP105747	PRJEB23963	478175	ERS2048949	SAMEA104431007	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845057	9553357			29914988	168	rsgI mutant			TRUE	TRUE	TRUE	sigI	delrsgI_52C	wt_37C	168 trp C2 del_rsgI	LB			52		0.5	mid-exponential		
ERX2274790	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221417	ERP105747	PRJEB23963	478175	ERS2048950	SAMEA104431008	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845058	9553358			29914988	168	sigI-rsgI knockout			TRUE	TRUE	TRUE	sigI	delrsgI_sigI_37C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			37		0.5	mid-exponential		
ERX2274791	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221418	ERP105747	PRJEB23963	478175	ERS2048951	SAMEA104431009	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845059	9553359			29914988	168	sigI-rsgI knockout			TRUE	TRUE	TRUE	sigI	delrsgI_sigI_37C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			37		0.5	mid-exponential		
ERX2274792	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221419	ERP105747	PRJEB23963	478175	ERS2048952	SAMEA104431010	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845060	9553360			29914988	168	sigI-rsgI knockout			TRUE	TRUE	TRUE	sigI	delrsgI_sigI_37C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			37		0.5	mid-exponential		
ERX2274793	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221420	ERP105747	PRJEB23963	478175	ERS2048953	SAMEA104431011	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845061	9553361			29914988	168	sigI-rsgI knockout			TRUE	TRUE	TRUE	sigI	delrsgI_sigI_52C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			52		0.5	mid-exponential		
ERX2274794	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221421	ERP105747	PRJEB23963	478175	ERS2048954	SAMEA104431012	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845062	9553362			29914988	168	sigI-rsgI knockout			TRUE	TRUE	TRUE	sigI	delrsgI_sigI_52C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			52		0.5	mid-exponential		
ERX2274795	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221422	ERP105747	PRJEB23963	478175	ERS2048955	SAMEA104431013	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845063	9553363			29914988	168	sigI-rsgI knockout			TRUE	TRUE	TRUE	sigI	delrsgI_sigI_52C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			52		0.5	mid-exponential		
ERX2274796	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221423	ERP105747	PRJEB23963	478175	ERS2048956	SAMEA104431014	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845064	9553364			29914988	168	wild type genotype			TRUE	TRUE	TRUE	sigI	wt_37C	wt_37C	168 trp C2	LB			37		0.5	mid-exponential		
ERX2274797	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221424	ERP105747	PRJEB23963	478175	ERS2048957	SAMEA104431015	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845065	9553365			29914988	168	wild type genotype			TRUE	TRUE	TRUE	sigI	wt_37C	wt_37C	168 trp C2	LB			37		0.5	mid-exponential		
ERX2274798	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221425	ERP105747	PRJEB23963	478175	ERS2048958	SAMEA104431016	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845066	9553366			29914988	168	wild type genotype			TRUE	TRUE	TRUE	sigI	wt_37C	wt_37C	168 trp C2	LB			37		0.5	mid-exponential		
ERX2274799	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221426	ERP105747	PRJEB23963	478175	ERS2048959	SAMEA104431017	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845067	9553367			29914988	168	wild type genotype			TRUE	TRUE	TRUE	sigI	wt_52C	wt_37C	168 trp C2	LB			52		0.5	mid-exponential		
ERX2274800	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221427	ERP105747	PRJEB23963	478175	ERS2048960	SAMEA104431018	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845068	9553368			29914988	168	wild type genotype			TRUE	TRUE	TRUE	sigI	wt_52C	wt_37C	168 trp C2	LB			52		0.5	mid-exponential		
ERX2274801	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221428	ERP105747	PRJEB23963	478175	ERS2048961	SAMEA104431019	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0	5845069	9553369			29914988	168	wild type genotype			TRUE	TRUE	TRUE	sigI	wt_52C	wt_37C	168 trp C2	LB			52		0.5	mid-exponential		
ERX3440914	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417386;ERR3417387;ERR3417388;ERR3417389	ERP116158	PRJEB33371	614692	ERS3563428	SAMEA5759979	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	318	26.8	10470322	14499721			32061128	168	wild type genotype			TRUE	TRUE	TRUE	spore_genes	wt_0h	wt_0h	168	DSM			37	7		sporulation initiation		
ERX3440915	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417390;ERR3417391;ERR3417392;ERR3417393	ERP116158	PRJEB33371	614692	ERS3563429	SAMEA5759980	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	312	26.8	10470323	14499722			32061128	168	knockout mutant yphF			TRUE	TRUE	TRUE	spore_genes	delyphF_0h	wt_0h	168 del_yphF	DSM			37	7		sporulation initiation		
ERX3440916	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417394;ERR3417395;ERR3417396;ERR3417397	ERP116158	PRJEB33371	614692	ERS3563430	SAMEA5759981	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	314	26.8	10470324	14499723			32061128	168	knockout mutant yphF			TRUE	TRUE	TRUE	spore_genes	delyphF_0h	wt_0h	168 del_yphF	DSM			37	7		sporulation initiation		
ERX3440917	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417398;ERR3417399;ERR3417400;ERR3417401	ERP116158	PRJEB33371	614692	ERS3563431	SAMEA5759982	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	307	26.8	10470325	14499724			32061128	168	knockout mutant yphF			TRUE	TRUE	TRUE	spore_genes	delyphF_0h	wt_0h	168 del_yphF	DSM			37	7		sporulation initiation		
ERX3440918	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417402;ERR3417403;ERR3417404;ERR3417405	ERP116158	PRJEB33371	614692	ERS3563432	SAMEA5759983	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	309	26.8	10470326	14499725			32061128	168	knockout mutant ygaB			TRUE	TRUE	TRUE	spore_genes	delygaB_0h	wt_0h	168 del_ygaB	DSM			37	7		sporulation initiation		
ERX3440919	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417406;ERR3417407;ERR3417408;ERR3417409	ERP116158	PRJEB33371	614692	ERS3563433	SAMEA5759984	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	307	26.8	10470327	14499726			32061128	168	knockout mutant ygaB			TRUE	TRUE	TRUE	spore_genes	delygaB_0h	wt_0h	168 del_ygaB	DSM			37	7		sporulation initiation		
ERX3440920	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417410;ERR3417411;ERR3417412;ERR3417413	ERP116158	PRJEB33371	614692	ERS3563434	SAMEA5759985	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	312	26.8	10470328	14499727			32061128	168	knockout mutant ygaB			TRUE	TRUE	TRUE	spore_genes	delygaB_0h	wt_0h	168 del_ygaB	DSM			37	7		sporulation initiation		
ERX3440921	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417414;ERR3417415;ERR3417416;ERR3417417	ERP116158	PRJEB33371	614692	ERS3563435	SAMEA5759986	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	303	26.8	10470329	14499728			32061128	168	wild type genotype			TRUE	TRUE	TRUE	spore_genes	wt_3h	wt_0h	168	DSM			37	7		sporulation		
ERX3440922	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417418;ERR3417419;ERR3417420;ERR3417421	ERP116158	PRJEB33371	614692	ERS3563436	SAMEA5759987	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	306	26.8	10470330	14499729			32061128	168	wild type genotype			TRUE	TRUE	TRUE	spore_genes	wt_3h	wt_0h	168	DSM			37	7		sporulation		
ERX3440923	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417422;ERR3417423;ERR3417424;ERR3417425	ERP116158	PRJEB33371	614692	ERS3563437	SAMEA5759988	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	354	26.8	10470331	14499730			32061128	168	wild type genotype			TRUE	TRUE	TRUE	spore_genes	wt_3h	wt_0h	168	DSM			37	7		sporulation		
ERX3440924	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417426;ERR3417427;ERR3417428;ERR3417429	ERP116158	PRJEB33371	614692	ERS3563438	SAMEA5759989	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	333	26.8	10470332	14499731			32061128	168	knockout mutant yizD			TRUE	TRUE	TRUE	spore_genes	delyizD_3h	wt_0h	168 del_yizD	DSM			37	7		sporulation		
ERX3440925	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417430;ERR3417431;ERR3417432;ERR3417433	ERP116158	PRJEB33371	614692	ERS3563439	SAMEA5759990	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	310	26.8	10470333	14499732			32061128	168	wild type genotype			TRUE	TRUE	TRUE	spore_genes	wt_0h	wt_0h	168	DSM			37	7		sporulation initiation		
ERX3440926	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417434;ERR3417435;ERR3417436;ERR3417437	ERP116158	PRJEB33371	614692	ERS3563440	SAMEA5759991	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	348	26.8	10470334	14499733			32061128	168	knockout mutant yizD			TRUE	TRUE	TRUE	spore_genes	delyizD_3h	wt_0h	168 del_yizD	DSM			37	7		sporulation		
ERX3440927	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417438;ERR3417439;ERR3417440;ERR3417441	ERP116158	PRJEB33371	614692	ERS3563441	SAMEA5759992	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	337	26.8	10470335	14499734			32061128	168	knockout mutant yizD			TRUE	TRUE	TRUE	spore_genes	delyizD_3h	wt_0h	168 del_yizD	DSM			37	7		sporulation		
ERX3440928	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417442;ERR3417443;ERR3417444;ERR3417445	ERP116158	PRJEB33371	614692	ERS3563442	SAMEA5759993	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	315	26.8	10470336	14499735			32061128	168	knockout mutant ykzB			TRUE	TRUE	TRUE	spore_genes	delykzB_3h	wt_0h	168 del_ykzB	DSM			37	7		sporulation		
ERX3440929	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417446;ERR3417447;ERR3417448;ERR3417449	ERP116158	PRJEB33371	614692	ERS3563443	SAMEA5759994	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	308	26.8	10470337	14499736			32061128	168	knockout mutant ykzB			TRUE	TRUE	TRUE	spore_genes	delykzB_3h	wt_0h	168 del_ykzB	DSM			37	7		sporulation		
ERX3440930	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417450;ERR3417451;ERR3417452;ERR3417453	ERP116158	PRJEB33371	614692	ERS3563444	SAMEA5759995	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	313	26.8	10470338	14499737			32061128	168	knockout mutant ykzB			TRUE	TRUE	TRUE	spore_genes	delykzB_3h	wt_0h	168 del_ykzB	DSM			37	7		sporulation		
ERX3440931	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417454;ERR3417455;ERR3417456;ERR3417457	ERP116158	PRJEB33371	614692	ERS3563445	SAMEA5759996	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	299	26.8	10470339	14499738			32061128	168	knockout mutant yphF			TRUE	TRUE	TRUE	spore_genes	delyphF_3h	wt_0h	168 del_yphF	DSM			37	7		sporulation		
ERX3440932	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417458;ERR3417459;ERR3417460;ERR3417461	ERP116158	PRJEB33371	614692	ERS3563446	SAMEA5759997	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	309	26.8	10470340	14499739			32061128	168	knockout mutant yphF			TRUE	TRUE	TRUE	spore_genes	delyphF_3h	wt_0h	168 del_yphF	DSM			37	7		sporulation		
ERX3440933	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417462;ERR3417463;ERR3417464;ERR3417465	ERP116158	PRJEB33371	614692	ERS3563447	SAMEA5759998	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	344	26.8	10470341	14499740			32061128	168	knockout mutant yphF			TRUE	TRUE	TRUE	spore_genes	delyphF_3h	wt_0h	168 del_yphF	DSM			37	7		sporulation		
ERX3440934	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417466;ERR3417467;ERR3417468;ERR3417469	ERP116158	PRJEB33371	614692	ERS3563448	SAMEA5759999	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	312	26.8	10470342	14499741			32061128	168	knockout mutant ygaB			TRUE	TRUE	TRUE	spore_genes	delygaB_3h	wt_0h	168 del_ygaB	DSM			37	7		sporulation		
ERX3440935	2020-04-01 22:24:02	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417470;ERR3417471;ERR3417472;ERR3417473	ERP116158	PRJEB33371	614692	ERS3563449	SAMEA5760000	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	310	26.8	10470343	14499742			32061128	168	knockout mutant ygaB			TRUE	TRUE	TRUE	spore_genes	delygaB_3h	wt_0h	168 del_ygaB	DSM			37	7		sporulation		
