	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	passed_curation	passed_replicate_corr	passed_replicate_correlations
SRX119212	2012-04-02 14:40:17	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR407280;SRR407281	SRP010825	PRJNA152495	152495	SRS291485	SAMN00783871	SRA049984	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	137213	783871	GSE35641	GSM872397	22456704.0	168				False	True	False	False	True	True
SRX1254783	2015-12-08 15:35:03	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2435004	SRP063769	PRJNA295934	295934	SRS1072875	SAMN04093820	SRA299242	RNA-Seq	unspecified	TRANSCRIPTOMIC		TEXAS A&M UNIVERSITY	0	0.0	1803605	4093820				PDS0627				True	True	True	True	True	True
SRX1254784	2015-12-08 15:35:08	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2435622	SRP063769	PRJNA295934	295934	SRS1072875	SAMN04093820	SRA299242	RNA-Seq	unspecified	TRANSCRIPTOMIC		TEXAS A&M UNIVERSITY	0	0.0	1803606	4093820				PDS0627				True	True	True	True	True	True
SRX1254785	2015-12-08 15:35:11	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2435623	SRP063769	PRJNA295934	295934	SRS1072876	SAMN04093821	SRA299242	RNA-Seq	unspecified	TRANSCRIPTOMIC		TEXAS A&M UNIVERSITY	0	0.0	1803607	4093821				PDS0685				True	True	True	True	True	True
SRX1254786	2015-12-08 15:35:14	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2435624	SRP063769	PRJNA295934	295934	SRS1072876	SAMN04093821	SRA299242	RNA-Seq	unspecified	TRANSCRIPTOMIC		TEXAS A&M UNIVERSITY	0	0.0	1803608	4093821				PDS0685				True	True	True	True	True	True
SRX1473807	2015-12-31 00:00:00	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2984941	SRP067020	PRJNA304431	304431	SRS1199769	SAMN04317217	SRA315918	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UNIVERSITY OF MICHIGAN	0	0.0	2084149	4317217				PY79				True	True	True	True	True	True
SRX1473808	2015-12-31 00:00:00	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2984942	SRP067020	PRJNA304431	304431	SRS1199770	SAMN04317218	SRA315918	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UNIVERSITY OF MICHIGAN	0	0.0	2084150	4317218				PY79				True	True	True	True	True	True
SRX1473809	2015-12-31 00:00:00	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2984943	SRP067020	PRJNA304431	304431	SRS1199768	SAMN04317219	SRA315918	RNA-Seq	RANDOM	TRANSCRIPTOMIC		UNIVERSITY OF MICHIGAN	0	0.0	2084151	4317219				PY79				True	True	True	True	True	True
SRX1507977	2016-12-29 21:52:10	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR3064747	SRP067900	PRJNA307203	307203	SRS1228648	SAMN04376694	SRA323272	RNA-Seq	unspecified	TRANSCRIPTOMIC		NANJING AGRICULTURAL UNIVERSITY	0	0.0	2132666	4376694				Bacillus subtilis 168				True	True	True	False	True	True
SRX1547387	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina MiSeq	SRR3124507	SRP068910	PRJNA309763	309763	SRS1264218	SAMN04440602	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191538	4440602	GSE77217	GSM2046121	26883633.0	BG880				True	True	True	False	True	True
SRX1547388	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina MiSeq	SRR3124508	SRP068910	PRJNA309763	309763	SRS1264215	SAMN04440603	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191539	4440603	GSE77217	GSM2046122	26883633.0	BG879				True	True	True	False	True	True
SRX1547389	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina MiSeq	SRR3124509	SRP068910	PRJNA309763	309763	SRS1264217	SAMN04440604	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191540	4440604	GSE77217	GSM2046123	26883633.0	BG578				True	True	True	False	True	True
SRX1547390	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR3124510	SRP068910	PRJNA309763	309763	SRS1264216	SAMN04440605	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191541	4440605	GSE77217	GSM2046124	26883633.0	BG880				True	True	True	False	True	True
SRX1547391	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR3124511	SRP068910	PRJNA309763	309763	SRS1264214	SAMN04440606	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191542	4440606	GSE77217	GSM2046125	26883633.0	BG880				True	True	True	False	True	True
SRX1547392	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR3124512	SRP068910	PRJNA309763	309763	SRS1264212	SAMN04440607	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191543	4440607	GSE77217	GSM2046126	26883633.0	BG879				True	True	True	False	True	True
SRX1547393	2016-01-29 16:17:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR3124513	SRP068910	PRJNA309763	309763	SRS1264213	SAMN04440608	SRA341760	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2191544	4440608	GSE77217	GSM2046127	26883633.0	BG879				True	True	True	False	True	True
SRX1736086	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466199	SRP074147	PRJNA319983	319983	SRS1416933	SAMN04914062	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485191	4914062	GSE80786	GSM2137056	28585540.0	168CA	WT			True	True	True	True	True	True
SRX1736087	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466200	SRP074147	PRJNA319983	319983	SRS1416934	SAMN04914063	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485192	4914063	GSE80786	GSM2137057	28585540.0	168CA	WT			True	True	True	True	True	True
SRX1736088	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466201	SRP074147	PRJNA319983	319983	SRS1416935	SAMN04914064	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485193	4914064	GSE80786	GSM2137058	28585540.0	168CA	WT			True	True	True	True	True	True
SRX1736089	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466202	SRP074147	PRJNA319983	319983	SRS1416936	SAMN04914065	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485194	4914065	GSE80786	GSM2137059	28585540.0	168CA	WT			True	True	True	True	True	True
SRX1736090	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466203	SRP074147	PRJNA319983	319983	SRS1416937	SAMN04914066	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485195	4914066	GSE80786	GSM2137060	28585540.0	168CA	WT			True	True	True	True	True	True
SRX1736091	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466204	SRP074147	PRJNA319983	319983	SRS1416938	SAMN04914067	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485196	4914067	GSE80786	GSM2137061	28585540.0	168CA	WT			True	True	True	True	True	True
SRX1736092	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466205	SRP074147	PRJNA319983	319983	SRS1416939	SAMN04914068	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485197	4914068	GSE80786	GSM2137062	28585540.0	168CA	delta-yonO			True	True	True	True	True	True
SRX1736093	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466206	SRP074147	PRJNA319983	319983	SRS1416940	SAMN04914069	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485198	4914069	GSE80786	GSM2137063	28585540.0	168CA	delta-yonO			True	True	True	True	True	True
SRX1736094	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466207	SRP074147	PRJNA319983	319983	SRS1416941	SAMN04914070	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485199	4914070	GSE80786	GSM2137064	28585540.0	168CA	delta-yonO			True	True	True	True	True	True
SRX1736095	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466208	SRP074147	PRJNA319983	319983	SRS1416942	SAMN04914071	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485200	4914071	GSE80786	GSM2137065	28585540.0	168CA	delta-yonO			True	True	True	True	True	True
SRX1736096	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466209	SRP074147	PRJNA319983	319983	SRS1416943	SAMN04914072	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485201	4914072	GSE80786	GSM2137066	28585540.0	168CA	delta-yonO			True	True	True	True	True	True
SRX1736097	2016-09-30 15:56:16	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	SRR3466210	SRP074147	PRJNA319983	319983	SRS1416944	SAMN04914073	SRA421214	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2485202	4914073	GSE80786	GSM2137067	28585540.0	168CA	delta-yonO			True	True	True	True	True	True
SRX1750660	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488622	SRP074602	PRJNA321031	321031	SRS1428449	SAMN04962898	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509670	4962898	GSE81238	GSM2147012	27766092.0	168				False	True	False	False	True	True
SRX1750661	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488623	SRP074602	PRJNA321031	321031	SRS1428451	SAMN04962899	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509671	4962899	GSE81238	GSM2147013	27766092.0	168				False	False	False	False	True	True
SRX1750662	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488624	SRP074602	PRJNA321031	321031	SRS1428450	SAMN04962900	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509672	4962900	GSE81238	GSM2147014	27766092.0	168				False	True	False	False	True	True
SRX1750663	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488625	SRP074602	PRJNA321031	321031	SRS1428453	SAMN04962901	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509673	4962901	GSE81238	GSM2147015	27766092.0	168				False	True	False	False	True	True
SRX1750664	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488626	SRP074602	PRJNA321031	321031	SRS1428452	SAMN04962902	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509674	4962902	GSE81238	GSM2147016	27766092.0	168				False	True	False	False	True	True
SRX1750665	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488627	SRP074602	PRJNA321031	321031	SRS1428454	SAMN04962903	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509675	4962903	GSE81238	GSM2147017	27766092.0	168				False	False	False	False	True	True
SRX1750666	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488628	SRP074602	PRJNA321031	321031	SRS1428455	SAMN04962904	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509676	4962904	GSE81238	GSM2147018	27766092.0	168				False	True	False	False	True	True
SRX1750667	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488629	SRP074602	PRJNA321031	321031	SRS1428456	SAMN04962905	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509677	4962905	GSE81238	GSM2147019	27766092.0	168				False	True	False	False	True	True
SRX1750668	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488630	SRP074602	PRJNA321031	321031	SRS1428457	SAMN04962906	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509678	4962906	GSE81238	GSM2147020	27766092.0	168				False	True	False	False	True	True
SRX1750669	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488631	SRP074602	PRJNA321031	321031	SRS1428458	SAMN04962907	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509679	4962907	GSE81238	GSM2147021	27766092.0	168				False	True	False	False	True	True
SRX1750670	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488632	SRP074602	PRJNA321031	321031	SRS1428459	SAMN04962908	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509680	4962908	GSE81238	GSM2147022	27766092.0	168				False	True	False	False	True	True
SRX1750671	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488633	SRP074602	PRJNA321031	321031	SRS1428460	SAMN04962909	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509681	4962909	GSE81238	GSM2147023	27766092.0	168				False	True	False	False	True	True
SRX1750672	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488634	SRP074602	PRJNA321031	321031	SRS1428461	SAMN04962910	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509682	4962910	GSE81238	GSM2147024	27766092.0	168				False	True	False	False	True	True
SRX1750673	2016-05-11 15:47:24	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ION_TORRENT	Ion Torrent Proton	SRR3488635	SRP074602	PRJNA321031	321031	SRS1428462	SAMN04962911	SRA424307	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	2509683	4962911	GSE81238	GSM2147025	27766092.0	168				False	True	False	False	True	True
SRX2007442	2016-08-12 15:30:29	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	SRR4011230	SRP081082	PRJNA336278	336278	SRS1606218	SAMN05508672	SRA449531	RNA-Seq	PCR	TRANSCRIPTOMIC		DAYALBAGH EDUCATIONAL INSTIUTE	0	0.0	2887589	5508672				MTCC 441				True	False	False	False	True	True
SRX2007446	2016-08-12 15:30:29	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	SRR4011234	SRP081082	PRJNA336278	336278	SRS1606221	SAMN05508584	SRA449531	RNA-Seq	PCR	TRANSCRIPTOMIC		DAYALBAGH EDUCATIONAL INSTIUTE	0	0.0	2887593	5508584				MTCC 441				True	False	False	False	True	True
SRX2007447	2016-08-12 15:30:29	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	SRR4011235	SRP081082	PRJNA336278	336278	SRS1606220	SAMN05508583	SRA449531	RNA-Seq	PCR	TRANSCRIPTOMIC		DAYALBAGH EDUCATIONAL INSTIUTE	0	0.0	2887594	5508583				MTCC-441				True	False	False	False	True	True
SRX2208112	2017-01-16 09:32:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR4340970	SRP090761	PRJNA345214	345214	SRS1725534	SAMN05859647	SRA481696	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3243604	5859647	GSE87573	GSM2334640	28196958.0		wild type			True	False	False	False	True	True
SRX2208113	2017-01-16 09:32:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR4340971	SRP090761	PRJNA345214	345214	SRS1725533	SAMN05859646	SRA481696	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3243605	5859646	GSE87573	GSM2334641	28196958.0		wild type			True	True	True	False	True	True
SRX2208114	2017-01-16 09:32:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR4340972	SRP090761	PRJNA345214	345214	SRS1725535	SAMN05859645	SRA481696	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3243606	5859645	GSE87573	GSM2334642	28196958.0		wild type			True	False	False	False	True	True
SRX2208115	2017-01-16 09:32:13	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR4340973	SRP090761	PRJNA345214	345214	SRS1725536	SAMN05859644	SRA481696	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3243607	5859644	GSE87573	GSM2334643	28196958.0		wild type			True	False	False	False	True	True
SRX2508581	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192889	SRP097439	PRJNA362730	362730	SRS1932626	SAMN06246861	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634515	6246861	GSE93894	GSM2464562	28363943.0	SSB1002 (W168 wild-type)				True	True	True	True	True	True
SRX2508582	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192890	SRP097439	PRJNA362730	362730	SRS1932627	SAMN06246860	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634516	6246860	GSE93894	GSM2464563	28363943.0	CCB375 (W168 [delta]yacP)				True	True	True	True	True	True
SRX2508583	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192891	SRP097439	PRJNA362730	362730	SRS1932628	SAMN06246859	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634517	6246859	GSE93894	GSM2464564	28363943.0	CCB604 (W168 [delta]yacP + pDG-yacP) + IPTG				True	True	True	True	True	True
SRX2508584	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192892	SRP097439	PRJNA362730	362730	SRS1932629	SAMN06246870	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634518	6246870	GSE93894	GSM2464565	28363943.0	CCB604 (W168 [delta]yacP + pDG-yacP) - IPTG				True	True	True	True	True	True
SRX2508585	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192893	SRP097439	PRJNA362730	362730	SRS1932630	SAMN06246869	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634519	6246869	GSE93894	GSM2464566	28363943.0	SSB1002 (W168 wild-type)				True	True	True	True	True	True
SRX2508586	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192894	SRP097439	PRJNA362730	362730	SRS1932631	SAMN06246868	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634520	6246868	GSE93894	GSM2464567	28363943.0	CCB375 (W168 [delta]yacP)				True	True	True	True	True	True
SRX2508587	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192895	SRP097439	PRJNA362730	362730	SRS1932632	SAMN06246867	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634521	6246867	GSE93894	GSM2464568	28363943.0	CCB604 (W168 [delta]yacP + pDG-yacP) + IPTG				True	True	True	True	True	True
SRX2508588	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192896	SRP097439	PRJNA362730	362730	SRS1932633	SAMN06246866	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634522	6246866	GSE93894	GSM2464569	28363943.0	CCB604 (W168 [delta]yacP + pDG-yacP) - IPTG				True	True	True	True	True	True
SRX2508589	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192897	SRP097439	PRJNA362730	362730	SRS1932634	SAMN06246865	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634523	6246865	GSE93894	GSM2464570	28363943.0	SSB1002 (W168 wild-type)				True	True	True	True	True	True
SRX2508590	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192898	SRP097439	PRJNA362730	362730	SRS1932635	SAMN06246864	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634524	6246864	GSE93894	GSM2464571	28363943.0	CCB375 (W168 [delta]yacP)				True	True	True	True	True	True
SRX2508591	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192899	SRP097439	PRJNA362730	362730	SRS1932636	SAMN06246863	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634525	6246863	GSE93894	GSM2464572	28363943.0	CCB604 (W168 [delta]yacP + pDG-yacP) + IPTG				True	True	True	True	True	True
SRX2508592	2017-03-28 15:37:10	1423	Bacillus subtilis	1423	91061	1423	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5192900	SRP097439	PRJNA362730	362730	SRS1932637	SAMN06246862	SRA529281	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3634526	6246862	GSE93894	GSM2464573	28363943.0	CCB604 (W168 [delta]yacP + pDG-yacP) - IPTG				True	True	True	True	True	True
SRX2529102	2017-07-10 17:08:17	535026	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051	1423	91061	535026	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5218883	SRP098601	PRJNA369282	369282	SRS1950069	SAMN06283961	SRA533829	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3659865	6283961	GSE94303	GSM2472762		NCIB 3610				True	True	True	True	True	True
SRX2529103	2017-07-10 17:08:17	535026	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051	1423	91061	535026	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5218884	SRP098601	PRJNA369282	369282	SRS1950070	SAMN06283966	SRA533829	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3659866	6283966	GSE94303	GSM2472763		NCIB 3610				True	True	True	True	True	True
SRX2529104	2017-07-10 17:08:17	535026	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051	1423	91061	535026	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5218885	SRP098601	PRJNA369282	369282	SRS1950071	SAMN06283965	SRA533829	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0.0	3659867	6283965	GSE94303	GSM2472764		NCIB 3610				True	True	True	True	True	True
